"strain_id","gene","amrfinder_hit","resfinder_hit","blast_hit","validation_status"
"B_subtilis_168",,"","","","discordant"
"B_subtilis_168",,"","","","discordant"
"B_subtilis_168",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecium_Aus0004",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_V583",,"","","","discordant"
"E_faecalis_OG1RF",,"","","","discordant"
"K_pneumoniae_HS11286",,"","","","discordant"
"K_pneumoniae_HS11286",,"","","","discordant"
"K_pneumoniae_HS11286",,"","","","discordant"
"K_pneumoniae_MGH78578",,"","","","discordant"
"K_pneumoniae_MGH78578",,"","","","discordant"
"K_pneumoniae_MGH78578",,"","","","discordant"
"K_pneumoniae_MGH78578",,"","","","discordant"
"K_pneumoniae_MGH78578",,"","","","discordant"
"E_coli_K12_MG1655",,"","","","discordant"
"E_coli_K12_MG1655",,"","","","discordant"
"E_coli_K12_MG1655",,"","","","discordant"
"E_coli_K12_MG1655",,"","","","discordant"
"E_coli_O157H7_Sakai",,"","","","discordant"
"E_coli_O157H7_Sakai",,"","","","discordant"
"E_coli_O157H7_Sakai",,"","","","discordant"
"S_enterica_LT2",,"","","","discordant"
"S_enterica_LT2",,"","","","discordant"
"S_enterica_LT2",,"","","","discordant"
"S_enterica_LT2",,"","","","discordant"
"Enterobacter_cloacae_ATCC13047",,"","","","discordant"
"Proteus_mirabilis_HI4320",,"","","","discordant"
"Proteus_mirabilis_HI4320",,"","","","discordant"
"C_difficile_630",,"","","","discordant"
"C_difficile_630",,"","","","discordant"
"C_difficile_630",,"","","","discordant"
"C_difficile_630",,"","","","discordant"
"C_difficile_630",,"","","","discordant"
"S_aureus_NCTC8325",,"","","","discordant"
"S_aureus_NCTC8325",,"","","","discordant"
"S_aureus_NCTC8325",,"","","","discordant"
"S_aureus_NCTC8325",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_N315",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"S_aureus_Mu50",,"","","","discordant"
"L_monocytogenes_EGDe",,"","","","discordant"
"S_agalactiae_2603VR",,"","","","discordant"
"P_aeruginosa_PAO1",,"","","","discordant"
"P_aeruginosa_PAO1",,"","","","discordant"
"P_aeruginosa_PAO1",,"","","","discordant"
"P_aeruginosa_PAO1",,"","","","discordant"
"P_aeruginosa_PAO1",,"","","","discordant"
"P_aeruginosa_PAO1",,"","","","discordant"
"P_aeruginosa_PAO1",,"","","","discordant"
"A_baumannii_ATCC17978",,"","","","discordant"
"A_baumannii_ATCC17978",,"","","","discordant"
"A_baumannii_ATCC17978",,"","","","discordant"
"A_baumannii_ATCC17978",,"","","","discordant"
"A_baumannii_ATCC17978",,"","","","discordant"
"S_maltophilia_K279a",,"","","","discordant"
"C_jejuni_NCTC11168",,"","","","discordant"
"B_fragilis_NCTC9343",,"","","","discordant"
"V_cholerae_N16961",,"","","","discordant"
"V_cholerae_N16961",,"","","","discordant"
"V_cholerae_N16961",,"","","","discordant"
"V_cholerae_N16961",,"","","","discordant"
"V_cholerae_N16961",,"","","","discordant"
