strain_id,builtin_gene,builtin_identity,builtin_coverage,builtin_contig,builtin_start,builtin_end,drug_class,risk_level,amrfinder_hit,amrfinder_identity,amrfinder_agree,resfinder_hit,resfinder_identity,resfinder_agree,blast_hit,blast_identity,blast_agree,builtin_recheck,n_tools_confirm,n_tools_conflict,validation_status,validation_note,validation_tool,validation_best_hit
L_lactis_IL1403,lmrD,100.0,100.0,NC_002662.1,310896,312890,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,mphK,100.0,100.0,NC_000964.3,275838,276758,macrolide,Low,mphK,100.0,True,mph(K),100.0,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,mphK
B_subtilis_168,lmrB,100.0,100.0,NC_000964.3,288653,290086,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,tmrB,100.0,100.0,NC_000964.3,339156,339749,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,vmlR,100.0,100.0,NC_000964.3,604736,606379,unclassified,Low,vmlR,100.0,True,,,False,,,False,confirmed,1,0,confirmed_amrfinder,,AMRFinderPlus,vmlR
B_subtilis_168,Bsub_mprF,100.0,100.0,NC_000964.3,916778,919348,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,ykkC,100.0,100.0,NC_000964.3,1376517,1376855,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,ykkD,100.0,100.0,NC_000964.3,1376855,1377172,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,bmr,99.83,100.0,NC_000964.3,2494656,2495825,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,blt,100.0,100.0,NC_000964.3,2716973,2718175,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_subtilis_168,aadK,100.0,100.0,NC_000964.3,2735682,2736536,aminoglycoside,Low,aadK,100.0,True,aadK,100.0,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,aadK
B_adolescentis_ATCC15703,Bado_rpoB_RIF,100.0,100.0,NC_008618.1,1667064,1670624,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
B_bifidum_PRL2010,Bbif_ileS_MUP,100.0,100.0,NC_014638.1,1610637,1613960,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecium_Aus0004,dfrG,100.0,100.0,NC_017022.1,68722,69219,trimethoprim,Low,dfrG,100.0,True,dfrG,100.0,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,dfrG
E_faecium_Aus0004,efmA,100.0,100.0,NC_017022.1,558992,560278,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecium_Aus0004,ErmG,99.59,100.0,NC_017022.1,1609617,1610351,macrolide,Low,erm(G),100.0,True,erm(G),100.0,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,erm(G)
E_faecium_Aus0004,mel,95.24,100.0,NC_017022.1,1611879,1613096,unclassified,Low,mef(A),98.28,False,mef(A),95.24,False,,,False,confirmed,0,2,discordant,,AMRFinderPlus,mef(A)
E_faecium_Aus0004,AAC(6')-Ii,99.64,100.0,NC_017022.1,2317638,2318186,aminoglycoside,Low,aac(6')-I,100.0,False,aac(6')-Ii,99.64,True,,,False,confirmed,1,1,confirmed_resfinder,,ResFinder,aac(6')-Ii
E_faecium_Aus0004,vanX_in_vanB_cl,95.4,100.0,NC_017022.1,2838763,2839371,glycopeptide,Low,vanX-B,100.0,False,VanHBX,98.54,False,,,False,confirmed,0,2,discordant,,AMRFinderPlus,vanX-B
E_faecium_Aus0004,vanB,99.71,100.0,NC_017022.1,2839377,2840405,glycopeptide,Low,vanB,100.0,True,VanHBX,98.54,False,,,False,confirmed,1,1,confirmed_amrfinder,,AMRFinderPlus,vanB
E_faecium_Aus0004,vanW_in_vanB_cl,95.65,100.0,NC_017022.1,2841366,2842193,glycopeptide,Low,vanW-B,100.0,False,VanHBX,98.54,False,,,False,confirmed,0,2,discordant,,AMRFinderPlus,vanW-B
E_faecium_Aus0004,vanS_in_vanB_cl,96.35,100.0,NC_017022.1,2843188,2844531,glycopeptide,Low,vanS-B,100.0,False,,,False,,,False,confirmed,0,1,discordant,,AMRFinderPlus,vanS-B
E_faecalis_V583,dfrE,97.37,100.0,NC_004668.1,1530013,1530507,trimethoprim,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecalis_V583,vanV_in_vanB_cl,100.0,100.0,NC_004668.1,2211933,2212277,glycopeptide,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecalis_V583,vanX_in_vanB_cl,99.67,100.0,NC_004668.1,2212353,2212961,glycopeptide,Low,vanX-B,99.5,False,VanHBX,99.85,False,,,False,confirmed,0,2,discordant,,AMRFinderPlus,vanX-B
E_faecalis_V583,vanB,95.72,100.0,NC_004668.1,2212967,2213995,glycopeptide,Low,vanB,97.37,True,VanHBX,99.85,False,,,False,confirmed,1,1,confirmed_amrfinder,,AMRFinderPlus,vanB
E_faecalis_V583,vanH_in_vanB_cl,99.79,100.0,NC_004668.1,2213988,2214959,glycopeptide,Low,vanH-B,99.38,False,VanHBX,99.85,False,,,False,confirmed,0,2,discordant,,AMRFinderPlus,vanH-B
E_faecalis_V583,vanW_in_vanB_cl,100.0,100.0,NC_004668.1,2214956,2215783,glycopeptide,Low,vanW-B,100.0,False,VanHBX,99.85,False,,,False,confirmed,0,2,discordant,,AMRFinderPlus,vanW-B
E_faecalis_V583,vanY_in_vanB_cl,100.0,100.0,NC_004668.1,2215801,2216607,glycopeptide,Low,vanY-B,100.0,False,,,False,,,False,confirmed,0,1,discordant,,AMRFinderPlus,vanY-B
E_faecalis_V583,vanS_in_vanB_cl,100.0,100.0,NC_004668.1,2216783,2218126,glycopeptide,Low,vanS-B,100.0,False,,,False,,,False,confirmed,0,1,discordant,,AMRFinderPlus,vanS-B
E_faecalis_V583,vanR_in_vanB_cl,100.0,100.0,NC_004668.1,2218126,2218788,glycopeptide,Low,vanR-B,100.0,False,,,False,,,False,confirmed,0,1,discordant,,AMRFinderPlus,vanR-B
E_faecalis_V583,lsaA,98.4,100.0,NC_004668.1,2631164,2632660,lincosamide,Low,lsa(A),100.0,True,lsa(A),98.53,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,lsa(A)
E_faecalis_V583,efrA,98.9,100.0,NC_004668.1,2798453,2800180,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecalis_V583,IreK,98.79,100.0,NC_004668.1,2994908,2997064,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecalis_V583,ErmB,97.99,100.0,NC_004669.1,6333,7079,macrolide,High,erm(B),100.0,True,erm(B),100.0,True,ErmB,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,erm(B)
E_faecalis_V583,qacH,98.46,100.0,NC_004669.1,8712,9035,unclassified,High,qacZ,100.0,False,,,False,qacH,100.0,True,confirmed,1,1,confirmed_blast_only,,BLAST,qacH
E_faecalis_V583,AAC6_Ie_APH2_Ia,100.0,100.0,NC_004669.1,49141,50580,aminoglycoside,High,aac(6')-Ie/aph(2'')-Ia,100.0,True,aac(6')-aph(2''),100.0,True,AAC6_Ie_APH2_Ia,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aac(6')-Ie/aph(2'')-Ia
E_faecalis_OG1RF,dfrE,97.98,100.0,NC_017316.1,1352639,1353133,trimethoprim,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecalis_OG1RF,lsaA,98.26,100.0,NC_017316.1,2205194,2206690,lincosamide,Low,lsa(A),100.0,True,lsa(A),98.66,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,lsa(A)
E_faecalis_OG1RF,efrA,99.13,100.0,NC_017316.1,2340417,2342144,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_faecalis_OG1RF,IreK,98.7,100.0,NC_017316.1,2521837,2523993,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,CTX-M-14,100.0,100.0,NC_016838.1,31843,32718,beta-lactam,High,blaCTX-M-14,100.0,True,blaCTX-M-14,100.0,True,CTX-M-14,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,blaCTX-M-14
K_pneumoniae_HS11286,TEM-1,100.0,100.0,NC_016839.1,29746,30606,beta-lactam,Medium,blaTEM-1,100.0,True,blaTEM-1C,99.88,False,TEM-1,100.0,True,confirmed,2,1,confirmed_multi_tool,,AMRFinderPlus,blaTEM-1
K_pneumoniae_HS11286,rmtB,100.0,100.0,NC_016839.1,30776,31531,aminoglycoside,Medium,rmtB1,100.0,False,rmtB,100.0,True,rmtB,100.0,True,confirmed,2,1,confirmed_multi_tool,,ResFinder,rmtB
K_pneumoniae_HS11286,cmlA9,100.0,100.0,NC_016839.1,37349,38563,phenicol,Medium,floR2,100.0,False,CmlA9,100.0,True,cmlA9,100.0,True,confirmed,2,1,confirmed_multi_tool,,ResFinder,CmlA9
K_pneumoniae_HS11286,qacEdelta1,100.0,100.0,NC_016839.1,39745,40092,unclassified,Medium,qacEdelta1,100.0,True,sul1,99.82,False,,,False,confirmed,1,1,confirmed_amrfinder,,AMRFinderPlus,qacEdelta1
K_pneumoniae_HS11286,aadA2,99.87,100.0,NC_016839.1,40256,41035,aminoglycoside,Medium,aadA2,100.0,True,aadA2,100.0,True,aadA2,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aadA2
K_pneumoniae_HS11286,TEM-1,100.0,100.0,NC_016839.1,49820,50680,beta-lactam,Medium,blaTEM-1,100.0,True,blaTEM-1C,99.88,False,TEM-1,100.0,True,confirmed,2,1,confirmed_multi_tool,,AMRFinderPlus,blaTEM-1
K_pneumoniae_HS11286,APH(6)-Id,99.88,100.0,NC_016839.1,51095,51931,aminoglycoside,Medium,aph(6)-Id,100.0,True,aph(6)-Id,100.0,True,APH(6)-Id,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aph(6)-Id
K_pneumoniae_HS11286,APH(3'')-Ib,99.75,100.0,NC_016839.1,51931,52734,aminoglycoside,Medium,aph(3'')-Ib,100.0,True,aph(3'')-Ib,100.0,True,APH(3'')-Ib,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aph(3'')-Ib
K_pneumoniae_HS11286,sul2,100.0,100.0,NC_016839.1,52795,53610,sulfonamide,Medium,sul2,100.0,True,sul2,100.0,True,sul2,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,sul2
K_pneumoniae_HS11286,CTX-M-14,100.0,100.0,NC_016839.1,82527,83402,beta-lactam,High,blaCTX-M-14,100.0,True,blaCTX-M-14,100.0,True,CTX-M-14,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,blaCTX-M-14
K_pneumoniae_HS11286,FosA6,98.81,100.0,NC_016845.1,646217,646636,fosfomycin,Low,fosA,98.56,False,fosA6,98.81,True,,,False,confirmed,1,1,confirmed_resfinder,,ResFinder,fosA6
K_pneumoniae_HS11286,LptD,100.0,100.0,NC_016845.1,804078,806426,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,OmpA,99.82,100.0,NC_016845.1,1936314,1937438,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,Kpne_KpnE,99.45,100.0,NC_016845.1,2508706,2509068,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,Kpne_KpnF,100.0,100.0,NC_016845.1,2509055,2509384,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,SHV-182,99.88,100.0,NC_016845.1,2549403,2550263,beta-lactam,Low,blaSHV-11,100.0,False,blaSHV-182,99.88,True,,,False,confirmed,1,1,confirmed_resfinder,,ResFinder,blaSHV-182
K_pneumoniae_HS11286,MdtQ,99.79,100.0,NC_016845.1,3655612,3657051,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,Kpne_KpnG,99.49,100.0,NC_016845.1,4119624,4120796,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,ArnT,99.82,100.0,NC_016845.1,4999278,5000933,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,eptB,99.65,100.0,NC_016845.1,5080749,5082473,unclassified,Medium,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_HS11286,KPC-2,100.0,100.0,NC_016846.1,20557,21438,beta-lactam,Medium,blaKPC-2,100.0,True,blaKPC-2,100.0,True,KPC-2,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,blaKPC-2
K_pneumoniae_HS11286,TEM-1,100.0,100.0,NC_016846.1,41723,42583,beta-lactam,Medium,blaTEM-1,100.0,True,blaTEM-1C,99.88,False,TEM-1,100.0,True,confirmed,2,1,confirmed_multi_tool,,AMRFinderPlus,blaTEM-1
K_pneumoniae_MGH78578,LptD,99.66,100.0,NC_009648.1,55104,57452,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,OmpA,99.73,100.0,NC_009648.1,1120326,1121450,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,Kpne_KpnE,99.45,100.0,NC_009648.1,1743439,1743801,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,Kpne_KpnF,100.0,100.0,NC_009648.1,1743788,1744117,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,SHV-40,99.88,100.0,NC_009648.1,1784144,1785004,beta-lactam,Low,blaSHV-11,100.0,False,blaSHV-89,99.88,False,,,False,confirmed,0,2,discordant,,AMRFinderPlus,blaSHV-11
K_pneumoniae_MGH78578,MdtQ,99.65,100.0,NC_009648.1,2824079,2825518,unclassified,Medium,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,oqxA,99.4,100.0,NC_009648.1,3262907,3264082,quinolone,Low,oqxA,100.0,True,OqxA,99.4,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,oqxA
K_pneumoniae_MGH78578,oqxB,98.92,100.0,NC_009648.1,3264106,3267258,quinolone,Low,oqxB,99.9,True,OqxB,98.92,True,,,False,confirmed,2,0,confirmed_multi_tool,,AMRFinderPlus,oqxB
K_pneumoniae_MGH78578,Kpne_KpnG,99.32,100.0,NC_009648.1,3312172,3313344,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,ArnT,99.34,100.0,NC_009648.1,4198304,4199959,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,eptB,99.77,100.0,NC_009648.1,4279920,4281644,unclassified,Medium,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
K_pneumoniae_MGH78578,FosA6,99.52,100.0,NC_009648.1,5217428,5217847,fosfomycin,Low,fosA,100.0,False,fosA6,99.52,True,,,False,confirmed,1,1,confirmed_resfinder,,ResFinder,fosA6
K_pneumoniae_MGH78578,SHV-12,100.0,100.0,NC_009650.1,10117,10977,beta-lactam,Medium,blaSHV-12,100.0,True,blaSHV-12,100.0,True,SHV-12,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,blaSHV-12
K_pneumoniae_MGH78578,AAC(6')-Ib',99.82,100.0,NC_009650.1,18886,19440,aminoglycoside,Medium,aac(6')-Ib,100.0,True,aac(6')-Ib,100.0,True,AAC(6')-Ib',100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aac(6')-Ib
K_pneumoniae_MGH78578,OXA-9,99.88,100.0,NC_009650.1,20358,21182,beta-lactam,Medium,blaOXA,99.64,False,blaOXA-9,99.88,True,OXA-9,100.0,True,confirmed,2,1,confirmed_multi_tool,,ResFinder,blaOXA-9
K_pneumoniae_MGH78578,TEM-90,99.88,100.0,NC_009650.1,21882,22742,beta-lactam,Medium,blaTEM-1,100.0,False,blaTEM-1A,100.0,False,TEM-90,100.0,True,confirmed,1,2,confirmed_blast_only,,BLAST,TEM-90
K_pneumoniae_MGH78578,APH(3'')-Ib,99.88,100.0,NC_009651.1,12226,13029,aminoglycoside,High,aph(3'')-Ib,100.0,True,aph(3'')-Ib,99.88,True,APH(3'')-Ib,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aph(3'')-Ib
K_pneumoniae_MGH78578,APH(6)-Id,99.88,100.0,NC_009651.1,13029,13865,aminoglycoside,High,aph(6)-Id,100.0,True,aph(6)-Id,100.0,True,APH(6)-Id,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aph(6)-Id
K_pneumoniae_MGH78578,sul2,100.0,100.0,NC_009651.1,18529,19344,sulfonamide,High,sul2,100.0,True,sul2,100.0,True,sul2,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,sul2
K_pneumoniae_MGH78578,APH(3')-Ia,100.0,100.0,NC_009651.1,27290,28105,aminoglycoside,High,aph(3')-Ia,100.0,True,aph(3')-Ia,100.0,True,APH(3')-Ia,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,aph(3')-Ia
K_pneumoniae_MGH78578,sul1,100.0,100.0,NC_009651.1,34075,34914,sulfonamide,Medium,sul1,100.0,True,sul1,100.0,True,sul1,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,sul1
K_pneumoniae_MGH78578,qacEdelta1,100.0,100.0,NC_009651.1,34908,35255,unclassified,Medium,qacEdelta1,100.0,True,sul1,100.0,False,,,False,confirmed,1,1,confirmed_amrfinder,,AMRFinderPlus,qacEdelta1
K_pneumoniae_MGH78578,cmlA5,100.0,100.0,NC_009651.1,35447,36706,phenicol,Medium,cmlA5,100.0,True,CmlA7,100.0,False,cmlA5,100.0,True,confirmed,2,1,confirmed_multi_tool,,AMRFinderPlus,cmlA5
K_pneumoniae_MGH78578,ANT(2'')-Ia,100.0,100.0,NC_009651.1,37667,38200,aminoglycoside,Medium,ant(2'')-Ia,100.0,True,ant(2'')-Ia,100.0,True,ANT(2'')-Ia,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,ant(2'')-Ia
K_pneumoniae_MGH78578,catA1,99.55,100.0,NC_009651.1,66239,66898,phenicol,High,catA1,100.0,True,catA1,99.55,True,catA1,100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,catA1
K_pneumoniae_MGH78578,tet(D),100.0,100.0,NC_009651.1,85914,87098,tetracycline,Medium,tet(D),100.0,True,tet(D),100.0,True,tet(D),100.0,True,confirmed,3,0,confirmed_multi_tool,,AMRFinderPlus,tet(D)
K_pneumoniae_MGH78578,TEM-166,99.88,100.0,NC_009651.1,87578,88438,beta-lactam,Medium,blaTEM-1,100.0,False,blaTEM-1B,100.0,False,TEM-166,100.0,True,confirmed,1,2,confirmed_blast_only,,BLAST,TEM-166
E_coli_K12_MG1655,leuO,97.99,100.0,NC_000913.3,84368,85312,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,acrB,100.0,100.0,NC_000913.3,481254,484403,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,Ecol_acrA,100.0,100.0,NC_000913.3,484426,485619,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,Ecol_emrE,100.0,100.0,NC_000913.3,568315,568647,unclassified,Medium,emrE,100.0,False,,,False,,,False,confirmed,0,1,discordant,,AMRFinderPlus,emrE
E_coli_K12_MG1655,kdpE,100.0,100.0,NC_000913.3,721056,721733,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,Ecol_mdfA,98.38,100.0,NC_000913.3,883673,884905,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,msbA,100.0,100.0,NC_000913.3,966621,968369,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,mdtG,99.43,100.0,NC_000913.3,1114264,1115490,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,mdtH,100.0,100.0,NC_000913.3,1124118,1125326,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,H-NS,99.28,100.0,NC_000913.3,1292509,1292922,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,marA,100.0,100.0,NC_000913.3,1619574,1619957,unclassified,Low,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
E_coli_K12_MG1655,ugd,100.0,100.0,NC_000913.3,2098447,2099613,unclassified,Medium,,,False,,,False,,,False,confirmed,0,0,not_checked,no external hit covered this locus,none,
