strain_id,contig,start,end,strand,gene,pct_coverage,pct_identity,database,accession,product,drug_class,on_plasmid,conjugative,is_upstream,is_downstream,is_flank_both,risk_level,risk_reason,raw_risk_level,curated_category,curation_reason,confidence,include_in_mobile_ARG_analysis,curated_risk_level
L_lactis_IL1403,NC_002662.1,310896,312890,+,lmrD,100.0,100.0,builtin,CP033607.1,lmrD [Lactococcus lactis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,275838,276758,+,mphK,100.0,100.0,builtin,CP010314.1,mphK [Bacillus subtilis subsp. subtilis],macrolide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
B_subtilis_168,NC_000964.3,288653,290086,-,lmrB,100.0,100.0,builtin,JYFL01000006.1,lmrB [Bacillus subtilis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,339156,339749,-,tmrB,100.0,100.0,builtin,AL009126.3,tmrB [Bacillus subtilis subsp. subtilis str. 168],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,604736,606379,-,vmlR,100.0,100.0,builtin,NC_000964.3,vmlR [Bacillus subtilis subsp. subtilis str. 168],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,916778,919348,+,Bsub_mprF,100.0,100.0,builtin,AL009126.3,Bsub_mprF [Bacillus subtilis subsp. subtilis str. 168],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,1376517,1376855,+,ykkC,100.0,100.0,builtin,AL009126.1,ykkC [Bacillus subtilis subsp. subtilis str. 168],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,1376855,1377172,+,ykkD,100.0,100.0,builtin,AL009126.1,ykkD [Bacillus subtilis subsp. subtilis str. 168],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,2494656,2495825,+,bmr,100.0,99.83,builtin,M33768.1,bmr [Bacillus subtilis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,2716973,2718175,+,blt,100.0,100.0,builtin,L32599.1,blt [Bacillus subtilis subsp. subtilis str. 168],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_subtilis_168,NC_000964.3,2735682,2736536,-,aadK,100.0,100.0,builtin,AL009126.1,aadK [Bacillus subtilis subsp. subtilis str. 168],aminoglycoside,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
B_adolescentis_ATCC15703,NC_008618.1,1667064,1670624,-,Bado_rpoB_RIF,100.0,100.0,builtin,NC_008618.1,Bado_rpoB_RIF [Bifidobacterium adolescentis],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
B_bifidum_PRL2010,NC_014638.1,1610637,1613960,-,Bbif_ileS_MUP,100.0,100.0,builtin,CP001840.1,Bbif_ileS_MUP [Bifidobacterium bifidum PRL2010],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
E_faecium_Aus0004,NC_017022.1,68722,69219,-,dfrG,100.0,100.0,builtin,AB205645.1,dfrG [Staphylococcus aureus],trimethoprim,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecium_Aus0004,NC_017022.1,558992,560278,+,efmA,100.0,100.0,builtin,AB467372.1,efmA [Enterococcus faecium],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
E_faecium_Aus0004,NC_017022.1,1609617,1610351,-,ErmG,100.0,99.59,builtin,L42817.1,ErmG [Bacteroides thetaiotaomicron],macrolide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecium_Aus0004,NC_017022.1,1611879,1613096,-,mel,100.0,95.24,builtin,AF227521.1,mel [Streptococcus pyogenes],unclassified,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Low
E_faecium_Aus0004,NC_017022.1,2317638,2318186,-,AAC(6')-Ii,100.0,99.64,builtin,L12710.1,AAC(6')-Ii [Enterococcus faecium],aminoglycoside,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecium_Aus0004,NC_017022.1,2838763,2839371,-,vanX_in_vanB_cl,100.0,95.4,builtin,U35369.1,vanX_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecium_Aus0004,NC_017022.1,2839377,2840405,-,vanB,100.0,99.71,builtin,KF823969.1,vanB [Enterococcus faecium],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecium_Aus0004,NC_017022.1,2841366,2842193,-,vanW_in_vanB_cl,100.0,95.65,builtin,U35369.1,vanW_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecium_Aus0004,NC_017022.1,2843188,2844531,-,vanS_in_vanB_cl,100.0,96.35,builtin,U35369.1,vanS_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,1530013,1530507,+,dfrE,100.0,97.37,builtin,AIIS01000002.1,dfrE [Enterococcus faecalis EnGen0074],trimethoprim,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2211933,2212277,-,vanV_in_vanB_cl,100.0,100.0,builtin,AE016830.1,vanV_in_vanB_cl [Enterococcus faecalis V583],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2212353,2212961,-,vanX_in_vanB_cl,100.0,99.67,builtin,U35369.1,vanX_in_vanB_cl [Enterococcus faecalis],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
E_faecalis_V583,NC_004668.1,2212967,2213995,-,vanB,100.0,95.72,builtin,KF823969.1,vanB [Enterococcus faecium],glycopeptide,False,False,False,False,False,Low,"chromosomal, acquired, no mobility signal",Low,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Low
