strain_id,contig,start,end,strand,gene,pct_coverage,pct_identity,database,accession,product,drug_class,on_plasmid,conjugative,is_upstream,is_downstream,is_flank_both,risk_level,risk_reason,raw_risk_level,curated_category,curation_reason,confidence,include_in_mobile_ARG_analysis,curated_risk_level
E_faecalis_V583,NC_004669.1,6333,7079,+,ErmB,100.0,97.99,builtin,AF242872.1,ErmB [Enterococcus faecium],macrolide,False,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
E_faecalis_V583,NC_004669.1,49141,50580,+,AAC6_Ie_APH2_Ia,100.0,100.0,builtin,GU565967.1,AAC6_Ie_APH2_Ia [Staphylococcus aureus],aminoglycoside,False,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_HS11286,NC_016838.1,31843,32718,-,CTX-M-14,100.0,100.0,builtin,AF252622.2,CTX-M-14 [Escherichia coli],beta-lactam,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_HS11286,NC_016839.1,29746,30606,+,TEM-1,100.0,100.0,builtin,AL513383.1,TEM-1 [Salmonella enterica subsp. enterica serovar Typhi str. CT18],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,30776,31531,+,rmtB,100.0,100.0,builtin,AM886293.1,rmtB [Escherichia coli],aminoglycoside,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,37349,38563,-,cmlA9,100.0,100.0,builtin,AY963803.6,cmlA9 [Salmonella enterica subsp. enterica serovar Emek],phenicol,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,40256,41035,-,aadA2,100.0,99.87,builtin,AF156486.1,aadA2 [Klebsiella pneumoniae],aminoglycoside,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,49820,50680,+,TEM-1,100.0,100.0,builtin,AL513383.1,TEM-1 [Salmonella enterica subsp. enterica serovar Typhi str. CT18],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,51095,51931,-,APH(6)-Id,100.0,99.88,builtin,AF024602.1,APH(6)-Id [Pseudomonas aeruginosa],aminoglycoside,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,51931,52734,-,APH(3'')-Ib,100.0,99.75,builtin,AF313472.2,APH(3'')-Ib [Pseudomonas aeruginosa],aminoglycoside,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,52795,53610,-,sul2,100.0,100.0,builtin,AY055428.1,sul2 [Vibrio cholerae],sulfonamide,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016839.1,82527,83402,+,CTX-M-14,100.0,100.0,builtin,AF252622.2,CTX-M-14 [Escherichia coli],beta-lactam,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_HS11286,NC_016846.1,20557,21438,+,KPC-2,100.0,100.0,builtin,AY034847.1,KPC-2 [Klebsiella pneumoniae],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_HS11286,NC_016846.1,41723,42583,+,TEM-1,100.0,100.0,builtin,AL513383.1,TEM-1 [Salmonella enterica subsp. enterica serovar Typhi str. CT18],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009650.1,10117,10977,+,SHV-12,100.0,100.0,builtin,KF976405.1,SHV-12 [Enterobacter cloacae],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009650.1,18886,19440,+,AAC(6')-Ib',100.0,99.82,builtin,AY660529.1,AAC(6')-Ib' [Pseudomonas aeruginosa],aminoglycoside,True,False,False,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009650.1,20358,21182,+,OXA-9,100.0,99.88,builtin,M55547.1,OXA-9 [Klebsiella pneumoniae],beta-lactam,True,False,False,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009650.1,21882,22742,+,TEM-90,100.0,99.88,builtin,AF351241.1,TEM-90 [Escherichia coli],beta-lactam,True,False,False,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009651.1,12226,13029,+,APH(3'')-Ib,100.0,99.88,builtin,AF313472.2,APH(3'')-Ib [Pseudomonas aeruginosa],aminoglycoside,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_MGH78578,NC_009651.1,13029,13865,+,APH(6)-Id,100.0,99.88,builtin,AF024602.1,APH(6)-Id [Pseudomonas aeruginosa],aminoglycoside,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_MGH78578,NC_009651.1,18529,19344,+,sul2,100.0,100.0,builtin,AY055428.1,sul2 [Vibrio cholerae],sulfonamide,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_MGH78578,NC_009651.1,27290,28105,-,APH(3')-Ia,100.0,100.0,builtin,BX664015.1,APH(3')-Ia [Serratia marcescens],aminoglycoside,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_MGH78578,NC_009651.1,34075,34914,-,sul1,100.0,100.0,builtin,JF969163.1,sul1 [Vibrio fluvialis],sulfonamide,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009651.1,35447,36706,-,cmlA5,100.0,100.0,builtin,AY115475.1,cmlA5 [uncultured bacterium],phenicol,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009651.1,37667,38200,-,ANT(2'')-Ia,100.0,100.0,builtin,AF078527.1,ANT(2'')-Ia [Pseudomonas aeruginosa],aminoglycoside,True,False,False,True,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009651.1,66239,66898,-,catA1,100.0,99.55,builtin,V00622.1,catA1 [Escherichia coli],phenicol,True,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
K_pneumoniae_MGH78578,NC_009651.1,85914,87098,+,tet(D),100.0,100.0,builtin,AF467077.1,tet(D) [Shigella flexneri Y],tetracycline,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
K_pneumoniae_MGH78578,NC_009651.1,87578,88438,-,TEM-166,100.0,99.88,builtin,FJ197316.1,TEM-166 [Escherichia coli],beta-lactam,True,False,True,False,False,Medium,non-conjugative plasmid,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,Medium
Shigella_flexneri_2a_301,NC_004337.2,82209,83153,+,leuO,100.0,97.88,builtin,LR730402.1,leuO [Escherichia coli],unclassified,False,False,False,True,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
Shigella_flexneri_2a_301,NC_004337.2,1287548,1287961,-,H-NS,100.0,99.03,builtin,BA000007.3,H-NS [Escherichia coli O157:H7 str. Sakai],unclassified,False,False,False,True,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
Shigella_flexneri_2a_301,NC_004337.2,1595773,1596156,-,marA,100.0,100.0,builtin,AP009048.1,marA [Escherichia coli str. K-12 substr. W3110],unclassified,False,False,True,False,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
Shigella_flexneri_2a_301,NC_004337.2,3697297,3698121,+,gadX,100.0,97.94,builtin,AP009048.1,gadX [Escherichia coli str. K-12 substr. W3110],unclassified,False,False,True,False,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
Shigella_flexneri_2a_301,NC_004337.2,4118585,4119958,-,cpxA,100.0,98.76,builtin,BA000007.3,cpxA [Escherichia coli O157:H7 str. Sakai],unclassified,False,False,True,False,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
Shigella_flexneri_2a_301,NC_004337.2,4482197,4483330,-,EC-8,100.0,98.15,builtin,NG_049086.1,EC-8 [Escherichia coli],unclassified,False,False,True,False,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
Enterobacter_cloacae_ATCC13047,NC_014121.1,3902508,3903323,+,sul2,100.0,100.0,builtin,AY055428.1,sul2 [Vibrio cholerae],sulfonamide,False,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
S_aureus_N315,NC_002745.2,40818,41579,-,ANT(4')-Ia,100.0,99.87,builtin,K02551.1,ANT(4')-Ia [Plasmid pTB913],aminoglycoside,False,False,True,True,True,High,IS elements flanking both sides,High,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,medium,True,High
S_aureus_N315,NC_002745.2,45031,47037,-,mecA,100.0,99.85,builtin,KC243783.1,mecA [Staphylococcus aureus],beta-lactam,False,False,True,False,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
S_aureus_N315,NC_002745.2,47137,48894,+,mecR1,100.0,99.94,builtin,CP000703.1,mecR1 [Staphylococcus aureus subsp. aureus JH9],beta-lactam,False,False,True,False,False,Medium,single flanking IS element,Medium,acquired_mobile_ARG,No core/intrinsic/biocide rule matched; treated as acquired cargo.,low,True,Medium
